ADM4_PCODE,car_00,car_01,dw_01,dw_03,dw_04,dw_05,dw_07,dw_08,dw_09,dw_10,dw_11,lan_00,lan_01,lan_06,lan_09,lan_10,lan_11,lan_12,lan_14,lat,lgt_00,lln_00,lln_01,lon,pg_00,pg_01,pg_02,pg_03,pg_04,psa_00,psa_01,psa_03,psa_04,pw_00,pw_02,pw_03,pw_04,pw_05,pw_06,stv_00,stv_01,target,ward,Family,scaled_total_households,scaled_total_individuals,Worst_case,Best_case,ADM4_PCODE_encoded,cluster_label,cluster,W_encoded1,W_encoded2,W_encoded3,Cluster_label_encoded
ZA4161001,0.28527808940760885,0.714721910592391,0.0008581959346760946,0.0025600079035025783,0.0,0.0018479906069784494,0.06903178665271927,0.009616853895930191,0.009979832064385005,0.020813168805339694,0.0082243574,0.8505652970928234,0.013130192316506702,0.07754529244049746,0.0003823438898168594,0.00037839251841198686,0.0049846248080419745,0.007393444269527473,0.0068037956039426395,-29.6822700584,0.9193397561990896,0.14693824130649508,0.853061758693505,24.7347433306,0.35028061958255424,0.5734670579527841,0.004534096935173194,0.07760877415908177,0.005770828612322077,0.4633057334173849,0.7126472101916534,0.02928047099749734,0.0917106788972708,0.7457447663162181,0.0199679109,0.007310027673389775,0.024568033889916407,0.0,0.013007813553583278,0.3372662424695418,0.6627337575304583,16.7737569179,41601001: Ward 1,3.5165012155808144,0.042169464276456445,0.060513525293281835,1.7646353632535863,1.411317580355452,1189,3,6,63.27638190954774,76.21105527638191,77.55778894472361,22.493791889908604
ZA4161002,0.15074170368778259,0.8492582963122173,0.0012713689352805747,0.0,0.005869591008085218,0.001781452244048297,0.2710465905085176,0.1807983423836404,0.00525417770277349,0.01822339768158735,0.008010001,0.8982982002979292,0.008988520111811187,0.0330519345494414,0.0013325410967494672,0.0010116106005280344,0.0,0.006632060632815864,0.0281045587635738,-29.1193113796,0.9592162459666173,0.08273244574669095,0.9172675542533091,24.7577373108,0.6950604447413328,0.28309137018259695,0.003932717231112059,0.01683610289338994,0.010970735890188908,0.5167910354473801,0.6443788164969647,0.06236268378581103,0.10925775438457716,0.31056511419066357,0.0189463477,0.03738720325064196,0.18620977735110023,0.08363965875202845,0.004156723467480399,0.12331099505386042,0.8766890049461395,21.4966612115,41601002: Ward 2,3.8775866306373383,0.04374545992212895,0.06978628899493794,1.6169481078630425,1.5442217440813022,1190,3,6,62.64824120603015,75.41708542713567,76.53266331658291,22.493791889908604
ZA4161003,0.28370725983063894,0.7162927401693611,0.0045836254306188375,0.01508592355065922,0.01972684193023103,0.001287402222944913,0.04965172076872859,0.15460543693922396,0.0,0.0,0.0041500166,0.5775321151436549,0.017020082828192642,0.15091959614441422,0.0001676635157829089,0.0007922972674179586,0.0017063585196906812,0.006822038800389725,0.0022033210517920783,-29.142276139299998,0.8259815092520681,0.12367027824137101,0.8763297217586288,25.094093433,0.6687940428343647,0.15704582675470924,0.0023208750848409372,0.1780784521528617,0.009920304412127016,0.3319724758424016,0.7938340168347605,0.06230009365566714,0.08451504154178768,0.3247223742220711,0.0830103053,0.14773984315856512,0.03376350611566159,0.006226504604657716,0.04113426175000704,0.19723306099862664,0.8027669390013733,10.9314246705,41601003: Ward 3,3.025928958490851,0.06054277324892369,0.0756721283465778,1.7073598180027483,1.418446674674414,1191,3,6,63.085427135678394,74.01507537688443,75.01005025125629,22.493791889908604
ZA4161004,0.13327157631942485,0.8667284236805751,0.0,0.0,0.002074788273825255,0.05015434735721782,0.1511771050439435,0.2603928163064678,0.0,0.0,0.00294704,0.7595759200316137,0.006950588085655904,0.10522168083496634,0.0005928995560854837,0.0,0.00019819771492577272,0.020234587918650147,0.0001746543920780662,-29.372051517800003,0.9861362250430807,0.036053439725420154,0.9639465602745798,24.9428668511,0.7249773694871322,0.268656652574011,0.0019220234755399218,0.0010168664346279878,0.014659901351750736,0.5007661566989274,0.6954740465996572,0.021187570881942203,0.08752451400882078,0.6802214633297077,0.0026893003000000005,0.0,0.002181891274465271,0.0,0.00504174268308782,0.1044254210798593,0.8955745789201406,23.1192572359,41601004: Ward 4,3.2941935119853265,0.04384109230632022,0.05883092552037076,1.6666278913600916,1.529612311938493,1192,3,6,62.7286432160804,75.05025125628141,74.87939698492463,22.493791889908604
ZA4161005,0.4215766654507612,0.5784233345492386,0.0006641933393321473,0.002262427265106295,0.017849556083456036,0.0011019454474460362,0.02007386643204012,0.018306862057256196,0.03073360897177342,0.0,0.0006733489,0.43157975743316057,0.015275610672255358,0.1501849761883849,0.0001725424785372692,0.0006544765826341866,0.0012106181333298226,0.011625649840334944,0.19257071096645675,-29.4093813324,0.957331487699086,0.16514989020268175,0.8348501097973182,25.2901652875,0.750738056841615,0.13202554544278186,0.004813460458482463,0.11371174809654758,0.01462533082787033,0.35022763585138095,0.6065378023373627,0.015047862566658002,0.2552367481041845,0.774275770314545,0.0096991501,0.012470512673812143,0.004205245055398254,0.0029499129025566495,0.017738545634029122,0.4116367798579405,0.5883632201420594,13.6522518959,41601005: Ward 5,3.8469705463492465,0.04358222538311115,0.06893140228058015,1.5965979167445417,1.3601675214442017,1193,3,6,61.889502762430936,74.21546961325967,74.77900552486187,22.493791889908604
ZA4161006,0.23149276338444136,0.7685072366155585,0.0005875752075747556,0.0,0.0,0.001949660552240878,0.1974779235043766,0.11057379216542679,0.0,0.0,0.0035400062,0.2323161793558364,0.013733567926663531,0.20356689400884154,0.0007403704194211208,0.00035142477285668704,0.0023250378082227204,0.01646484929492822,0.04344240351624874,-29.1268702848,0.9533539542584648,0.1079033616180376,0.8920966383819624,25.4103600113,0.8324127559326395,0.05759311196921652,0.0040195992348158235,0.10862546283736306,0.008787177707248526,0.48120074695440823,0.663636970614554,0.060382557994521975,0.11350512495749443,0.27295627782485316,0.0274960463,0.05331340840687147,0.007416201032100103,0.10594856452664328,0.03966736053205571,0.16077833725194718,0.8392216627480529,25.249880265999998,41601006: Ward 6,3.2410585225136592,0.049268514544121976,0.06545951726542623,1.5929225444820596,1.5519151730869025,1194,3,6,61.417142857142856,76.43428571428572,76.61142857142858,22.493791889908604
ZA4162001,0.2328801010209384,0.7671198989790615,0.00695796769921089,0.00217992288409827,0.0018367370180802053,0.0025656659496350485,0.027800081066583097,0.029497767444024648,0.0025461360840888935,0.019093807999191574,0.0005925744,0.19721854428463975,0.013764130560927627,0.6153665618809832,0.0,0.0,0.0007310722843830413,0.007870991205406654,0.017520996610138725,-29.640860267199997,0.9248071398464573,0.13118314938885117,0.8688168506111489,26.0917736986,0.8051035867566597,0.05166868698677481,0.0032769963626051845,0.1452104122680374,0.006375500554013816,0.4478344346675939,0.7092632926826836,0.03291272585120389,0.10237679312838668,0.47038982582532535,0.032711581600000005,0.009823544945116017,0.0016576427274985158,0.011138340382826212,0.020317372502858262,0.20065500362391847,0.7993449963760816,19.9845852549,41602001: Ward 1,3.16861555429029,0.049526403489894406,0.06426329725267382,1.6770381952856637,1.480059532064614,1195,3,6,63.27638190954774,76.21105527638191,77.55778894472361,22.493791889908604
ZA4162002,0.22786752503593263,0.7721324749640673,0.004616582049574845,0.004355878909389215,0.0013045666062259848,0.002430845390129522,0.14664354708987182,0.025250140358835698,0.00366882157862444,0.0,0.0010525046,0.4043412640237876,0.016204211597714433,0.37496043755056135,0.0006761776229412101,0.0006653458505191656,0.0029107611016893527,0.0191736532550391,0.03511447908865496,-30.0291626633,0.9239134711355309,0.12501404092204663,0.8749859590779534,25.9171636063,0.6583720112382532,0.22943381711502428,0.003970071579787446,0.10952793371583028,0.01575378134369313,0.43532518721222896,0.7146750851339131,0.022830522997067847,0.10834425063192235,0.44078790312648597,0.0229965325,0.016334649123710996,0.004168974256389859,0.002305261580275055,0.025402896821319774,0.3415028529716232,0.6584971470283769,16.5110805718,41602002: Ward 2,3.104137395932685,0.055776759091851834,0.07130334094580196,1.8283104130696035,1.3216898592765385,1196,3,6,62.64824120603015,75.41708542713567,76.53266331658291,22.493791889908604
ZA4162003,0.22634817797240955,0.7736518220275903,0.0028398803874505243,0.002118978505594853,0.0032134369060214034,0.0007539789966528151,0.0528435207428045,0.05444134297559729,0.006986396758070092,0.008144050218175946,0.0007000239999999999,0.19761153267753556,0.026861724160435113,0.2979560179654383,0.00036763770100080675,0.0005081210786338835,0.0,0.015364652607196126,0.040737207359862374,-30.462175669,0.9329727205512749,0.15870393142245778,0.8412960685775421,26.1331700773,0.8007594782241384,0.10448255439517483,0.007587527678476062,0.08820572528989104,0.01180563504274976,0.5387941520395475,0.6386790082774019,0.04015249313847488,0.10918135338387033,0.4468962352135279,0.0082587826,0.015680891344388683,0.004159344439765085,0.0,0.008845210475693277,0.2729193326304507,0.7270806673695493,25.9621166749,41602003: Ward 3,3.3300178520162618,0.05095157037010828,0.06979889921314397,1.6852501629354428,1.4922229973815064,1197,1,6,63.085427135678394,74.01507537688443,75.01005025125629,22.929204967127273
ZA4162004,0.2996862212827235,0.7003137787172764,0.005303904263235101,0.0,0.00940342068920107,0.003823204045128006,0.05923847089891342,0.005628676038602825,0.04408046656031658,0.009278948492695439,0.0268047194,0.5207476484176903,0.02323839562075826,0.18376745621008247,0.0005995588296631702,0.0002142562767045726,0.0009779439638336114,0.014246739610823593,0.047415211687267936,-30.4204211245,0.9382137814994742,0.18683501186321808,0.813164988136782,25.351629616100002,0.5238301719923286,0.3510021890323551,0.0044097554276331975,0.11819827252724686,0.029627566680206326,0.4537036215487812,0.6808357662472678,0.05309957776985521,0.11689651926337974,0.5688400088866318,0.0021101267,0.006785282243665603,0.0,0.0025526279636313783,0.0020863104369495053,0.40751377802077776,0.5924862219792223,21.744166399,41602004: Ward 4,3.200222335461443,0.04471665703439528,0.05825746713710397,1.7886633229853222,1.345876064810727,1198,3,6,62.7286432160804,75.05025125628141,74.87939698492463,22.493791889908604
